"_id","_index","_score","_type",duration,id,kind,"localEndpoint.ipv4","localEndpoint.port","localEndpoint.serviceName",name,parentId,shared,"tags.error","tags.http.host","tags.http.method","tags.http.path","tags.http.status_code","tags.http.url","tags.mvc.controller.class","tags.mvc.controller.method","tags.spring.instance_id",timestamp,"timestamp_millis",traceId
"ZHW-L2oBeWuhw1ds3_C3","zipkin:span-2019-04-18",,span,"5,000",f0671cd867a3d18b,SERVER,"192.168.0.19",12345,"ts-station-service","http:/ticketinfo/queryforstationid",a48d1b9e0dac0cac,true,,,,,,,StationController,queryForId,"d17809beb05f:ts-station-service:12345","1,555,579,198,987,000","April 18th 2019, 09:19:58.987",a48d1b9e0dac0cac
"WnW-L2oBeWuhw1ds3vCH","zipkin:span-2019-04-18",,span,"14,000",ff23879e871671e7,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/station/queryforid",f0671cd867a3d18b,,,"ts-station-service",POST,"/station/queryForId",,"http://ts-station-service:12345/station/queryForId",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,198,979,000","April 18th 2019, 09:19:58.979",a48d1b9e0dac0cac
"W3W-L2oBeWuhw1ds3vCH","zipkin:span-2019-04-18",,span,"21,000",f0671cd867a3d18b,SERVER,"192.168.0.31",15680,"ts-basic-service","http:/ticketinfo/queryforstationid",a48d1b9e0dac0cac,true,,,,,,,BasicController,queryForStationId,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,198,975,000","April 18th 2019, 09:19:58.975",a48d1b9e0dac0cac
"k3W-L2oBeWuhw1ds4PDt","zipkin:span-2019-04-18",,span,"27,000",13350d9fc9356028,CLIENT,"192.168.0.50",15681,"ts-ticketinfo-service","http:/basic/queryforstationid",f0671cd867a3d18b,,,"ts-basic-service",POST,"/basic/queryForStationId",,"http://ts-basic-service:15680/basic/queryForStationId",,,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,198,969,999.75","April 18th 2019, 09:19:58.970",a48d1b9e0dac0cac
"lHW-L2oBeWuhw1ds4PDt","zipkin:span-2019-04-18",,span,"32,000",f0671cd867a3d18b,SERVER,"192.168.0.50",15681,"ts-ticketinfo-service","http:/ticketinfo/queryforstationid",a48d1b9e0dac0cac,true,,,,,,,TicketInfoController,queryForStationId,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,198,966,000.25","April 18th 2019, 09:19:58.966",a48d1b9e0dac0cac
"b3W-L2oBeWuhw1ds4PBc","zipkin:span-2019-04-18",,span,"36,000",f0671cd867a3d18b,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/ticketinfo/queryforstationid",a48d1b9e0dac0cac,,,"ts-ticketinfo-service",POST,"/ticketinfo/queryForStationId",,"http://ts-ticketinfo-service:15681/ticketinfo/queryForStationId",,,"76846330712d:ts-travel-service:12346","1,555,579,198,963,000","April 18th 2019, 09:19:58.963",a48d1b9e0dac0cac
"Y3W-L2oBeWuhw1ds3_C3","zipkin:span-2019-04-18",,span,"6,000",b6868d67cb581fb8,SERVER,"192.168.0.19",12345,"ts-station-service","http:/ticketinfo/queryforstationid",a48d1b9e0dac0cac,true,,,,,,,StationController,queryForId,"d17809beb05f:ts-station-service:12345","1,555,579,198,948,000","April 18th 2019, 09:19:58.948",a48d1b9e0dac0cac
"WHW-L2oBeWuhw1ds3vCH","zipkin:span-2019-04-18",,span,"12,000",3347f1da4468e3f2,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/station/queryforid",b6868d67cb581fb8,,,"ts-station-service",POST,"/station/queryForId",,"http://ts-station-service:12345/station/queryForId",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,198,944,000","April 18th 2019, 09:19:58.944",a48d1b9e0dac0cac
"WXW-L2oBeWuhw1ds3vCH","zipkin:span-2019-04-18",,span,"17,000",b6868d67cb581fb8,SERVER,"192.168.0.31",15680,"ts-basic-service","http:/ticketinfo/queryforstationid",a48d1b9e0dac0cac,true,,,,,,,BasicController,queryForStationId,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,198,940,000","April 18th 2019, 09:19:58.940",a48d1b9e0dac0cac
"kXW-L2oBeWuhw1ds4PDt","zipkin:span-2019-04-18",,span,"22,000",cdb118ecf7fde01f,CLIENT,"192.168.0.50",15681,"ts-ticketinfo-service","http:/basic/queryforstationid",b6868d67cb581fb8,,,"ts-basic-service",POST,"/basic/queryForStationId",,"http://ts-basic-service:15680/basic/queryForStationId",,,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,198,936,000","April 18th 2019, 09:19:58.936",a48d1b9e0dac0cac
"knW-L2oBeWuhw1ds4PDt","zipkin:span-2019-04-18",,span,"28,000",b6868d67cb581fb8,SERVER,"192.168.0.50",15681,"ts-ticketinfo-service","http:/ticketinfo/queryforstationid",a48d1b9e0dac0cac,true,,,,,,,TicketInfoController,queryForStationId,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,198,932,000","April 18th 2019, 09:19:58.932",a48d1b9e0dac0cac
